rosbagTimestamp,x,y,z,r,p,q,joint1,joint2,joint3,joint4
641273000000,2.11773848534,-2.46205663681,0.931168496609,0.00590864612139,0.0077683060339,-0.000161823714782,0.472731708998,-0.0816615945223,1.52481189116,-1.44315066343
641374000000,2.11747646332,-2.46463012695,0.93107521534,0.00578955922149,0.00741073790193,-0.000359306208755,0.472731709015,-0.0816615946232,1.5248118911,-1.44315066394
641474000000,2.11710786819,-2.46651887894,0.931133151054,0.00642105314272,0.00795453697501,-0.000261316715004,0.472731709117,-0.0816615930264,1.52481189091,-1.44315072762
641573000000,2.11806678772,-2.46809387207,0.926294326782,0.00734750321225,0.00806817282899,-0.00031807591891,0.472731709134,-0.0816615919016,1.52481189081,-1.44315077022
641673000000,2.11850357056,-2.4703772068,0.924331665039,0.00676883883372,0.00726331025379,-0.000186576013488,0.472731709082,-0.0816615936951,1.52481189101,-1.44315069811
641773000000,2.11858010292,-2.47359585762,0.923788607121,0.00598683092376,0.00538775214287,-5.02118069515E-05,0.472731709152,-0.0816615959779,1.52481189131,-1.44315060432
641873000000,2.1190905571,-2.47610712051,0.922022819519,0.00618525766185,0.00488457591196,-0.00027250606913,0.472731709176,-0.081661593572,1.52481189093,-1.44315070495
641973000000,2.12083745003,-2.47825145721,0.9167958498,0.00584257436584,0.00500100845624,-2.23114567728E-05,0.472731709006,-0.0816615942842,1.52481189115,-1.44315067042
642074000000,2.12144184113,-2.47973203659,0.915328800678,0.00639558463358,0.00443029171086,6.41214581832E-06,0.472731709102,-0.0816615931312,1.52481189097,-1.44315071807
642173000000,2.12162661552,-2.48170495033,0.915145576,0.00738256978249,0.00491196497634,-0.000469765106812,0.472731709284,-0.0816615932381,1.52481189086,-1.4431507181
642273000000,2.12153315544,-2.48449659348,0.913999795914,0.00665984968149,0.00479218453704,-0.000153726933933,0.472731709176,-0.0816615935106,1.52481189086,-1.44315070772
642373000000,2.12175035477,-2.48651242256,0.91002869606,0.00641678855646,0.00512570577654,-0.000135115956821,0.472731709225,-0.0816615946815,1.52481189112,-1.44315065454
642473000000,2.1209435463,-2.48922491074,0.907479643822,0.00418988447773,0.00707895218359,-0.000201975139572,0.472731708909,-0.081661592561,1.52481189077,-1.44315074661
642573000000,2.11970281601,-2.49161887169,0.907620310783,0.00401585769467,0.00884530619534,-0.000240433747923,0.472731709176,-0.0816615921212,1.52481189078,-1.44315075944
642673000000,2.1181447506,-2.4943087101,0.905759096146,0.00375938837308,0.00778556609137,-7.74992960537E-05,0.472731709228,-0.081661595599,1.5248118912,-1.44315062073
642773000000,2.11796355247,-2.49535131454,0.901794612408,0.00351809567434,0.00817120045849,-5.01411456129E-06,0.472731709221,-0.0816615928629,1.524811891,-1.44315072255
642873000000,2.11736655235,-2.49662184715,0.898826062679,0.0040842709205,0.00841730713489,-7.94122220351E-05,0.472731709134,-0.0816615948388,1.52481189119,-1.44315064627
642973000000,2.11630582809,-2.49739789963,0.897993981838,0.00456258287643,0.00803936257955,-4.48806856808E-05,0.472731709204,-0.0816615922138,1.52481189091,-1.44315074986
643073000000,2.11546993256,-2.4982881546,0.894622981548,0.00667551238702,0.00851201341969,-2.74762321508E-05,0.472731709283,-0.0816615945569,1.52481189108,-1.44315066217
643173000000,2.11570620537,-2.49897837639,0.888423919678,0.00686763581705,0.00929518604855,-0.000316473320679,0.47273170913,-0.081661591446,1.52481189086,-1.44315078053
643273000000,2.11554574966,-2.49985384941,0.884241223335,0.00636316464849,0.00914037895533,7.61177780216E-05,0.472731709181,-0.0816615936581,1.52481189122,-1.44315068676
643373000000,2.11487698555,-2.50043463707,0.884832859039,0.00605738029489,0.00842828982881,-0.000134717567374,0.47273170917,-0.0816615935914,1.52481189096,-1.4431507016
643473000000,2.11464929581,-2.50093865395,0.88269919157,0.00590705136547,0.00861713751884,-4.18161214552E-05,0.472731709105,-0.0816615935282,1.52481189101,-1.44315070215
